User_ID,Date,Level,Transaction_name,Amount_in_usd
853904,2018-11-28 15:44:18,10,pack11,5.0685
1334215,2018-11-28 20:21:39,18,usd4,3.99
1248300,2018-11-28 21:53:49,10,pack11,4.99
26280,2018-11-29 02:26:19,34,usd50,49.99
74660,2018-11-28 01:58:44,6,usd10,9.99
1368449,2018-12-02 21:04:20,8,usd_50_10,4.99
1368449,2018-12-02 23:17:02,10,pack13,18.99
1368316,2018-12-02 16:16:47,9,pack4,5.99
1360386,2018-12-02 17:10:51,14,usd_50_4,2.0253
1298648,2018-12-01 20:58:54,24,ship2,16.4098
1288570,2018-11-30 04:01:09,13,usd10,10.0262
1358939,2018-12-01 15:03:31,7,usd4,4.1484
1358939,2018-12-03 12:55:30,7,usd_50_75,38.5216
1358939,2018-12-03 12:56:13,7,usd_50_4,2.0822
603148,2018-12-01 20:08:44,55,wingmk2,10.1808
603148,2018-12-01 20:11:28,55,usd4,4.0642
603148,2018-12-01 20:11:45,55,iotapack,19.7091
603148,2018-12-01 20:12:19,55,eidolonmk2,43.36
1334215,2018-12-02 02:54:32,20,usd4,3.99
26838,2018-12-02 14:28:25,48,usd4,4.3084
26838,2018-12-02 14:29:00,48,usd4,4.3084
1368360,2018-12-02 03:20:31,7,usd10,9.99
1363972,2018-12-03 21:46:36,9,usd_50_25,15.363
1368449,2018-12-04 03:04:09,15,usd_50_4,1.99
1334215,2018-12-04 04:58:32,21,usd4,3.99
1369535,2018-12-04 15:29:32,3,usd_50_75,39.2399
1369535,2018-12-04 15:30:04,3,usd_50_4,2.0889
1369535,2018-12-04 15:31:20,3,pack3,4.8927
1369535,2018-12-04 17:10:44,9,pack13,18.912
1369601,2018-12-04 18:08:49,4,usd_50_4,1.99
1368449,2018-12-04 22:05:39,17,usd_50_25,12.99
1369535,2018-12-04 22:54:10,13,usd_50_75,39.2399
1360165,2018-11-28 05:09:18,5,usd4,3.99
1360165,2018-11-29 00:18:14,10,pack11,4.99
1358325,2018-11-29 15:33:45,10,pack11,4.2428
1363582,2018-11-30 15:45:46,8,usd10,9.99
1008659,2018-12-02 22:30:22,13,usd4,3.99
1285017,2018-11-30 20:45:08,26,usd10,9.99
1363753,2018-11-30 07:58:34,3,pack3,4.99
1363753,2018-12-01 18:38:00,9,usd10,9.99
1363753,2018-12-02 18:25:33,10,usd_50_10,4.99
1359433,2018-11-30 13:05:50,13,usd25,24.99
1359433,2018-12-02 15:03:18,16,ship1,7.99
1359433,2018-12-03 15:50:53,17,usd_50_75,37.99
1363409,2018-12-03 20:52:59,9,usd_50_4,1.99
1363409,2018-12-03 22:03:17,10,pack11,4.99
1368548,2018-12-04 00:24:27,9,usd_50_4,1.99
1368438,2018-12-04 04:41:49,13,pack1,8.9677
1128190,2018-12-04 19:22:27,9,usd4,3.99
1363753,2018-12-04 22:59:28,16,usd_50_4,1.99
1363753,2018-12-04 22:59:37,16,usd_50_10,4.99
1358644,2018-11-29 00:11:24,10,usd4,3.99
1358644,2018-11-29 00:13:40,10,usd4,3.99
1360148,2018-11-28 21:22:37,10,pack11,4.99
1360336,2018-11-29 11:01:58,7,usd10,13.0372
1360336,2018-11-29 17:15:44,10,pack13,23.2912
1154736,2018-11-29 19:15:08,10,usd10,9.99
1154736,2018-11-29 19:16:13,10,usd10,9.99
1363290,2018-11-29 16:30:55,10,pack11,4.9344
1360336,2018-12-03 00:21:54,19,usd_50_25,15.9868
1284184,2018-12-01 17:14:02,20,usd10,12.0309
1363989,2018-12-01 08:08:23,7,usd4,3.99
1358644,2018-11-30 03:04:16,11,usd4,3.99
1358644,2018-12-03 19:28:27,12,usd_50_4,1.99
1298114,2018-12-01 18:55:01,43,pack18,61.5264
1359963,2018-12-02 18:43:14,11,usd_50_75,37.99
1283965,2018-12-01 03:16:14,13,usd10,9.99
1283965,2018-12-03 04:43:16,14,usd10,9.99
17931,2018-12-03 07:06:08,24,usd10,9.6057
1364188,2018-12-01 11:30:25,3,pack3,6.01
1364188,2018-12-02 06:38:06,9,pack13,22.9781
1284554,2018-12-02 00:15:20,28,usd25,25.5419
1369735,2018-12-04 21:53:56,3,pack3,4.99
1360417,2018-11-28 17:19:56,3,pack3,6.0031
1360255,2018-11-29 14:30:55,10,pack11,6.0036
1358711,2018-11-28 09:32:18,16,ship1,7.99
1684,2018-11-28 02:43:14,17,usd50,50.0444
1360438,2018-11-29 05:02:55,7,pack10,12.99
1360438,2018-11-29 06:41:12,9,pack13,18.99
1363430,2018-11-29 16:40:03,3,pack3,4.9388
808698,2018-12-02 13:47:55,25,usd10,9.99
1359544,2018-11-29 22:59:30,8,usd4,3.99
1121209,2018-12-03 06:10:39,15,usd4,3.99
1363921,2018-11-30 23:09:10,11,usd4,3.99
1360040,2018-12-02 17:32:44,20,usd_50_75,37.99
1363921,2018-12-02 19:58:37,18,usd_50_25,12.99
1364180,2018-12-03 04:02:58,13,usd_50_4,1.99
1368271,2018-12-02 03:27:33,10,pack11,4.99
1368271,2018-12-02 16:19:21,13,usd10,9.99
1358710,2018-12-02 02:05:15,22,usd4,3.99
1358710,2018-12-02 02:05:55,22,usd4,3.99
1369135,2018-12-04 01:46:53,12,usd_50_4,1.9759
1358710,2018-12-04 07:04:54,23,usd10,9.99
1358710,2018-12-04 11:06:56,24,ship2,13.99
1358710,2018-12-04 11:08:02,24,usd10,9.99
1358710,2018-12-04 11:08:16,24,usd10,9.99
568297,2018-11-29 18:01:44,43,pack18,49.99
1334771,2018-11-28 09:27:58,16,usd50,60.1291
1359777,2018-11-28 21:49:04,10,pack11,4.99
1359777,2018-11-29 00:58:55,11,usd10,9.99
1333442,2018-11-28 20:34:47,18,usd4,3.99
1333442,2018-11-28 20:43:15,18,usd25,24.99
1334439,2018-11-29 20:07:10,6,usd4,3.99
1358173,2018-11-28 05:13:16,10,pack11,4.99
1285070,2018-11-28 00:29:25,19,usd50,49.3853
1363951,2018-11-30 20:00:24,5,usd4,4.9664
1363951,2018-11-30 22:34:10,5,pack10,16.1687
1363951,2018-11-30 22:41:36,6,usd10,12.4346
1363951,2018-12-01 14:51:16,9,usd10,12.5464
1363951,2018-12-01 14:51:51,9,usd4,5.011
1363951,2018-12-01 15:51:09,10,usd4,5.011
1363951,2018-12-01 15:52:53,11,pack13,23.8495
1359878,2018-12-03 05:42:56,17,usd_50_75,46.1109
1359793,2018-12-02 10:31:12,8,usd4,4.9153
1359793,2018-12-02 20:35:45,8,usd_50_25,15.3151
898387,2018-12-01 09:11:13,6,usd10,12.0111
898387,2018-12-01 09:17:01,7,usd4,4.9072
898387,2018-12-01 09:17:35,7,usd10,12.0111
1368389,2018-12-02 02:31:28,3,pack3,4.99
1368389,2018-12-02 06:08:09,9,pack13,18.99
1363869,2018-11-30 14:08:53,3,pack3,5.0727
1288809,2018-12-01 22:57:59,11,pack8,9.99
1363476,2018-11-30 12:31:32,5,pack10,16.1687
1363476,2018-11-30 12:37:34,5,usd4,4.9664
1363476,2018-11-30 14:41:42,9,usd4,4.9664
1363476,2018-11-30 15:47:07,9,usd4,4.9664
1368934,2018-12-03 09:59:36,5,pack10,15.363
1333442,2018-12-01 16:00:41,20,usd25,24.99
1333442,2018-12-01 16:05:56,20,usd25,24.99
1333442,2018-12-01 21:16:09,20,usd10,9.99
1368604,2018-12-03 21:28:53,9,usd_50_10,4.99
1369290,2018-12-04 05:44:29,8,usd_50_4,1.99
1369290,2018-12-04 10:28:18,11,usd_50_4,1.99
1369481,2018-12-04 13:31:36,3,pack3,6.2296
1369481,2018-12-04 13:46:01,4,usd_50_4,2.4843
1369481,2018-12-04 13:57:27,5,pack10,16.2169
1369311,2018-12-04 15:18:04,3,pack3,4.99
1369481,2018-12-04 16:53:31,9,pack13,23.7074
1369311,2018-12-04 18:27:54,5,pack10,12.99
1360325,2018-11-29 16:28:10,10,pack11,5.5322
1360423,2018-11-28 17:32:54,1,usd4,3.99
1363427,2018-11-29 17:37:37,5,usd10,9.99
1363427,2018-11-29 19:53:22,8,usd10,9.99
1360109,2018-11-28 17:55:43,6,usd10,9.99
1219457,2018-11-28 22:32:10,13,usd4,3.99
1368728,2018-12-03 00:48:11,8,usd_50_4,1.6591
1368728,2018-12-03 03:10:02,10,usd_50_4,1.6621
1369019,2018-12-03 19:59:33,11,pack11,5.1919
33805,2018-11-30 15:55:58,14,usd4,4.9664
1334800,2018-12-03 17:42:48,16,ship1,9.8723
1360423,2018-11-30 23:39:44,8,usd4,3.99
1369002,2018-12-03 17:03:53,3,usd_50_4,1.9562
1359164,2018-11-30 01:53:43,9,pack13,18.99
1359164,2018-11-30 01:54:39,9,usd4,3.99
1364131,2018-12-01 04:14:06,4,usd4,3.99
1364131,2018-12-01 09:26:43,10,pack11,4.99
1364131,2018-12-02 01:35:00,15,usd4,3.99
1364131,2018-12-02 17:56:28,18,usd_50_10,4.99
1364131,2018-12-03 01:42:41,19,ship1,7.99
1368681,2018-12-03 07:28:32,12,usd_50_25,15.363
1075284,2018-12-01 07:58:18,12,usd10,9.494
1369020,2018-12-03 17:57:27,10,usd_50_4,1.99
1369113,2018-12-03 20:25:51,3,pack3,5.6814
1368728,2018-12-03 21:00:05,13,usd_50_4,1.6621
1368728,2018-12-03 21:00:30,13,usd_50_4,1.6621
1368728,2018-12-03 21:01:00,13,usd_50_4,1.6621
1369002,2018-12-04 01:33:34,8,usd_50_4,1.9545
1368728,2018-12-04 04:06:19,15,usd_50_4,1.5992
1368728,2018-12-04 04:06:54,15,usd_50_4,1.5992
1369357,2018-12-04 09:18:31,7,usd_50_4,2.0884
1369153,2018-12-04 14:05:38,8,usd_50_75,37.99
1369153,2018-12-04 18:25:54,11,pack13,18.99
1369607,2018-12-04 20:42:53,6,usd_50_4,1.99
1363541,2018-11-29 20:34:59,3,pack3,4.99
1359577,2018-11-28 14:58:35,11,pack8,9.99
1359577,2018-11-29 03:07:33,12,usd25,24.99
1358519,2018-11-28 05:19:25,10,pack11,4.99
1359630,2018-11-29 17:11:22,10,pack11,4.99
1070542,2018-11-29 08:10:35,10,pack11,4.5617
1363127,2018-11-29 23:38:15,5,pack10,12.99
1363127,2018-12-02 06:12:53,9,pack13,18.99
1368527,2018-12-02 10:51:35,3,pack3,5.1329
1363939,2018-11-30 17:39:27,3,pack3,5.3907
1363939,2018-11-30 17:55:21,4,usd4,4.3126
1363939,2018-11-30 18:13:48,5,pack10,13.6238
1363939,2018-12-01 07:21:57,8,usd10,10.6949
1363939,2018-12-01 10:35:38,10,pack13,19.4857
1358998,2018-11-30 03:29:36,17,usd10,9.99
1358998,2018-11-30 19:00:54,18,usd4,3.99
1358998,2018-11-30 19:02:37,18,usd4,3.99
1359577,2018-12-01 14:22:08,13,usd10,9.99
1359140,2018-11-30 23:12:34,7,pack4,5.99
1363731,2018-12-01 05:42:31,10,pack11,4.99
1359289,2018-11-30 06:38:58,7,pack4,5.99
1359289,2018-11-30 06:40:34,7,usd4,3.99
1074999,2018-11-30 23:11:05,10,pack11,4.99
1070542,2018-12-04 06:47:44,23,ship2,13.1169
1369237,2018-12-04 19:51:15,9,usd_50_25,12.99
1368527,2018-12-04 21:46:07,16,ship1,8.1696
1229350,2018-12-04 23:04:02,23,ship2,13.99
1359156,2018-11-28 18:14:00,7,usd4,3.99
1360213,2018-11-28 05:05:00,5,usd4,3.99
1360213,2018-11-28 05:18:02,6,usd4,3.99
1359669,2018-11-28 01:03:31,21,usd10,9.3303
1359669,2018-11-28 01:16:23,21,usd4,3.7284
1359669,2018-11-29 13:54:48,25,ship2,13.9611
1359669,2018-11-29 13:55:44,25,usd25,24.7542
608182,2018-11-29 19:00:38,35,usd10,12.4346
1359755,2018-12-02 03:04:08,12,usd4,3.99
1359755,2018-12-02 17:58:23,12,usd_50_4,1.99
1369001,2018-12-03 13:56:08,7,usd_50_4,2.5147
1363538,2018-11-30 19:28:15,7,pack4,5.99
1363538,2018-11-30 20:27:43,9,pack13,18.99
1008166,2018-11-30 06:01:31,56,usd50,49.99
1368980,2018-12-04 06:04:33,10,pack11,5.9752
1369001,2018-12-04 09:51:21,10,pack11,5.9752
1369001,2018-12-04 10:38:24,10,usd_50_4,2.4924
1369681,2018-12-04 21:01:28,5,usd_50_10,4.99
1369706,2018-12-04 21:12:00,3,pack3,4.99
1369706,2018-12-04 21:39:32,5,usd_50_4,1.99
1359830,2018-11-28 10:40:19,11,usd10,9.5091
1368790,2018-12-03 16:54:00,7,usd_50_4,1.6359
1359328,2018-11-30 01:43:29,12,usd4,4.052
1363787,2018-12-01 18:28:46,8,usd10,9.99
1363787,2018-12-01 18:29:00,8,usd4,3.99
1359331,2018-11-30 23:59:17,26,ship2,13.99
1359331,2018-12-01 03:56:12,26,usd25,24.99
1333710,2018-12-01 03:08:42,14,usd25,24.99
1333710,2018-12-02 15:52:57,16,usd25,24.99
1368337,2018-12-02 21:33:13,13,usd_50_25,9.596
1368776,2018-12-02 23:47:12,7,usd_50_4,1.704
1369215,2018-12-04 00:33:50,8,usd_50_4,1.8092
1369332,2018-12-04 05:46:37,3,usd_50_10,5.3597
1369332,2018-12-04 05:47:48,3,pack3,5.3597
1369329,2018-12-04 06:31:01,8,usd_50_4,1.5082
1369351,2018-12-04 07:09:08,4,pack3,4.99
1369329,2018-12-04 07:39:02,10,pack11,3.6081
1368541,2018-12-04 10:59:13,10,usd_50_4,1.9874
1369329,2018-12-04 14:23:41,13,usd_50_25,9.5262
1368541,2018-12-04 16:25:39,11,usd_50_4,1.9874
1369215,2018-12-04 19:14:41,11,usd_50_25,12.1997
1369215,2018-12-04 19:16:17,11,usd_50_4,1.804
1369215,2018-12-04 19:16:53,11,usd_50_4,1.804
1005754,2018-12-04 19:42:04,10,pack11,6.5624
